harbor_seal,reference,ca_sea_lion,northern_elephant_seal,reference_gene_symbol,is_mt
XP_032243421.1,XP_038313668.1,XP_027477057.1,XP_045741899.1,B4GALT5,False
XP_032243422.1,XP_534466.2,XP_027477160.1,XP_045741961.1,VAPB,False
XP_032243426.1,XP_038313407.1,XP_027479395.1,XP_064429401.1,ZNFX1,False
XP_032243427.1,XP_534451.2,XP_027479397.1,XP_045741876.2,DDX27,False
XP_032243431.1,XP_038313847.1,XP_027478176.1,XP_045739867.1,KCNQ2,False
XP_032243433.1,XP_850190.1,XP_027477075.2,XP_064445511.1,CDCA8,False
XP_032243436.1,XP_038313854.1,XP_027478182.1,XP_045739868.1,KCNQ2,False
XP_032243437.1,XP_038313856.1,XP_027478183.1,XP_045739869.1,KCNQ2,False
XP_032243439.1,XP_038313858.1,XP_027478185.1,XP_045739870.1,KCNQ2,False
XP_032243442.1,XP_038313861.1,XP_027478188.1,XP_045739871.1,KCNQ2,False
XP_032243444.1,XP_854159.3,XP_027477308.1,XP_045741908.1,LOC611401,False
XP_032243446.1,NP_001192025.1,XP_027477309.1,XP_045741910.1,UBE2V1,False
XP_032243447.1,XP_532556.2,XP_027475636.1,XP_045754009.1,GNL2,False
XP_032243452.1,NP_001003208.1,XP_027480034.1,XP_064429467.1,RAB22A,False
XP_032243454.1,XP_038313724.1,XP_027479041.1,XP_045742248.1,LKAAEAR1,False
XP_032243455.1,XP_038314083.1,XP_027476731.1,XP_045742095.2,SLC2A4RG,False
XP_032243458.1,XP_038314081.1,XP_027476194.2,XP_045742247.1,COL20A1,False
XP_032243459.1,XP_539590.4,XP_027475670.1,XP_045754010.1,DNALI1,False
XP_032243461.1,XP_022264940.2,XP_027479810.1,XP_045742241.1,RBBP8NL,False
XP_032243462.1,XP_038314078.1,XP_027479472.1,XP_045742026.2,CABLES2,False
XP_032243463.1,XP_038314077.1,XP_027478410.1,XP_064429631.1,CDH26,False
XP_032243465.1,XP_005635284.1,XP_027479978.1,XP_045742238.1,APCDD1L,False
XP_032243466.1,XP_534464.4,XP_027479705.2,XP_045742237.1,ANKRD60,False
XP_032243467.1,XP_038313934.1,XP_027478265.1,XP_064429462.1,PMEPA1,False
XP_032243469.1,XP_013975060.1,XP_027434453.1,XP_045754011.1,SNIP1,False
XP_032243471.1,XP_013962753.2,XP_027479875.1,XP_045742239.1,ZNF831,False
XP_032243472.1,XP_854683.1,XP_027478734.1,XP_045739855.1,C24H20orf85,False
XP_032243474.1,XP_003639916.1,XP_027476807.1,XP_045741968.1,STX16,False
XP_032243475.1,XP_003639919.1,XP_027476808.1,XP_064429470.1,STX16,False
XP_032243476.1,XP_003639917.1,XP_027476809.1,XP_045741976.1,STX16,False
XP_032243482.1,XP_038307678.1,XP_027454903.1,XP_064445515.1,MEAF6,False
XP_032243483.1,XP_038313996.1,XP_027479771.2,XP_045742141.2,MYT1,False
XP_032243490.1,NP_001003263.1,XP_027476358.1,XP_045741985.1,GNAS,False
XP_032243491.1,XP_038307679.1,XP_027454913.1,XP_045754013.1,MEAF6,False
XP_032243494.1,NP_001183981.1,XP_027480010.1,XP_045741943.1,BMP7,False
XP_032243496.1,XP_038313531.1,XP_027477403.2,XP_064429435.1,TSHZ2,False
XP_032243498.1,XP_854530.1,XP_027476372.1,XP_045739849.1,CBLN4,False
XP_032243499.1,XP_005635305.1,XP_027478483.1,XP_045742006.1,PPP1R3D,False
XP_032243502.1,XP_534481.3,XP_027479024.1,XP_045742127.1,PRPF6,False
XP_032243503.1,XP_038314028.1,XP_027479043.1,XP_045742128.2,C24H20orf204,False
XP_032243505.1,XP_038313676.1,XP_027479163.1,XP_064429427.1,NFATC2,False
XP_032243506.1,XP_005635266.2,XP_027479988.1,XP_045741945.1,RBM38,False
XP_032243507.1,XP_038307891.1,XP_027454889.1,XP_064445513.1,ZC3H12A,False
XP_032243508.1,XP_543071.4,XP_027480060.1,XP_045741979.1,NPEPL1,False
XP_032243509.1,XP_038313687.1,XP_027476724.1,XP_064429537.1,ZBTB46,False
XP_032243512.1,NP_001128596.1,XP_027476371.1,XP_045739850.1,MC3R,False
XP_032243513.1,XP_038313931.1,XP_027478299.2,XP_045741953.1,ZBP1,False
XP_032243518.1,NP_001184100.1,XP_035584882.1,XP_045742243.2,COL9A3,False
XP_032243521.1,XP_038313948.1,XP_027479030.1,XP_064429568.1,OPRL1,False
XP_032243526.1,XP_038313788.1,XP_027479026.1,XP_045742133.2,TCEA2,False
XP_032243529.1,XP_548528.4,XP_027479035.1,XP_064429570.1,RGS19,False
XP_032243530.1,XP_850331.3,XP_027436504.1,XP_045754029.1,GRIK3,False
XP_032243532.1,XP_853434.1,XP_027479180.1,XP_045741941.2,RTF2,False
XP_032243534.1,XP_022264530.1,XP_027479179.1,XP_045741939.1,LOC102156144,False
XP_032243535.1,XP_038313784.1,XP_027478720.1,XP_045742050.1,YTHDF1,False
XP_032243536.1,XP_013962622.1,XP_027479305.1,XP_064429630.1,SYCP2,False
XP_032243537.1,XP_534453.3,XP_027479133.1,XP_045741905.1,RNF114,False
XP_032243539.1,NP_001184072.1,XP_027479760.1,XP_045741947.1,PCK1,False
XP_032243541.1,XP_003433231.1,XP_027477498.1,XP_064429548.1,TPD52L2,False
XP_032243542.1,XP_003433230.1,XP_027477503.1,XP_064429549.1,TPD52L2,False
XP_032243544.1,XP_853596.1,XP_027477504.1,XP_045742101.1,TPD52L2,False
XP_032243546.1,XP_005635366.1,XP_027477506.1,XP_045742104.1,TPD52L2,False
XP_032243549.1,XP_038313547.1,XP_027477985.1,XP_045739862.1,MRGBP,False
XP_032243550.1,XP_005635380.1,XP_027478538.1,XP_045739874.1,SAMD10,False
XP_032243552.1,XP_038314029.1,XP_027479959.1,XP_064429424.1,KCNG1,False
XP_032243556.1,XP_013962730.1,XP_027477940.1,XP_054366166.1,GMEB2,False
XP_032243557.1,XP_022264907.1,XP_027478347.1,XP_045739854.1,CTCFL,False
XP_032243559.1,XP_543091.3,XP_027479923.1,XP_045742048.1,SLC17A9,False
XP_032243560.1,XP_849307.1,XP_027439066.2,XP_054368957.1,CSF3R,False
XP_032243561.1,XP_038313655.1,XP_027477835.1,XP_045741989.2,NELFCD,False
XP_032243562.1,XP_038313656.1,XP_027477836.1,XP_045741990.2,NELFCD,False
XP_032243565.1,XP_038313658.1,XP_027477840.1,XP_045741992.1,CTSZ,False
XP_032243566.1,XP_038313786.1,XP_027477393.1,XP_064429536.1,HELZ2,False
XP_032243567.1,XP_038313563.1,XP_027480031.1,XP_045741954.1,LOC477273,False
XP_032243569.1,XP_038313630.1,XP_027479723.1,XP_045742023.1,LAMA5,False
XP_032243570.1,XP_038313691.1,XP_027479244.2,XP_045742007.1,TAF4,False
XP_032243572.1,XP_038307835.1,XP_027436655.2,XP_045754033.1,MRPS15,False
XP_032243575.1,XP_038313662.1,XP_027479727.1,XP_045742018.1,OSBPL2,False
XP_032243576.1,XP_038313703.1,XP_027476403.1,XP_045742016.1,HRH3,False
XP_032243577.1,XP_038313594.1,XP_027478896.1,XP_045742008.1,LSM14B,False
XP_032243578.1,XP_038313631.1,XP_027479726.1,XP_045742021.1,ADRM1,False
XP_032243581.1,XP_038313728.1,XP_035584775.1,XP_064429490.1,MTG2,False
XP_032243584.1,XP_038313597.1,XP_035584942.1,XP_045742011.1,PSMA7,False
XP_032243587.1,XP_038313776.1,XP_027477960.1,XP_045742012.1,SS18L1,False
XP_032243588.1,XP_038313797.1,XP_027479473.1,XP_045742027.1,RPS21,False
XP_032243590.1,XP_005642511.3,XP_027444957.1,XP_045723552.1,MTERF4,False
XP_032243592.1,XP_038313927.1,XP_027476729.1,XP_054366170.1,ZGPAT,False
XP_032243593.1,XP_005635243.1,XP_027479908.1,XP_045741926.1,ZFP64,False
XP_032243594.1,XP_003639915.1,XP_027479909.1,XP_045741927.1,ZFP64,False
XP_032243595.1,XP_038307788.1,XP_027426121.1,XP_045754034.2,OSCP1,False
XP_032243596.1,XP_867294.2,XP_027479910.1,XP_045741928.1,ZFP64,False
XP_032243599.1,XP_038314087.1,XP_027476969.1,XP_045742112.3,ZNF512B,False
XP_032243600.1,XP_038313598.1,XP_027478554.1,XP_064429480.1,CDH4,False
XP_032243602.1,XP_038313476.1,XP_027479283.1,XP_064429531.1,EEF1A2,False
XP_032243603.1,XP_038314008.1,XP_027476237.1,XP_045741907.1,SNAI1,False
XP_032243604.1,XP_543066.2,XP_027479462.1,XP_045741944.1,RAE1,False
XP_032243609.1,XP_038313827.1,XP_027476959.1,XP_045742124.1,UCKL1,False
XP_032243610.1,XP_038313829.1,XP_027476960.1,XP_045742125.1,UCKL1,False
XP_032243611.1,XP_038313830.1,XP_027476961.1,XP_064429557.1,UCKL1,False
XP_032243612.1,XP_038313831.1,XP_027476962.1,XP_064429558.1,UCKL1,False
XP_032243613.1,XP_855386.3,XP_027476955.1,XP_045742122.1,UCKL1,False
XP_032243614.1,XP_038313832.1,XP_027476956.1,XP_064429554.1,UCKL1,False
XP_032243615.1,XP_005635338.1,XP_027479265.1,XP_045742054.1,ARFGAP1,False
XP_032243616.1,XP_013962797.2,XP_027478197.2,XP_045741938.2,CASS4,False
XP_032243617.1,XP_532561.1,XP_027426143.1,XP_045751411.1,LSM10,False
XP_032243618.1,XP_038314082.1,XP_027479709.1,XP_045742063.1,LOC102156300,False
XP_032243620.1,XP_038313477.1,XP_027478684.1,XP_045742064.1,LOC119865725,False
XP_032243622.1,XP_022264581.1,XP_027478481.1,XP_064429478.1,FAM217B,False
XP_032243625.1,XP_543047.2,XP_027479720.1,XP_064429407.1,SPATA2,False
XP_032243626.1,NP_001002942.1,XP_027476350.1,XP_045739858.1,EDN3,False
XP_032243628.1,XP_867360.1,XP_027476875.1,XP_045741934.1,CSTF1,False
XP_032243630.1,XP_038313648.1,XP_027479952.1,XP_045732873.1,ATP5F1E,False
XP_032243631.1,XP_022264614.1,XP_027478147.1,XP_045741993.1,TUBB1,False
XP_032243632.1,XP_543063.3,XP_027476881.2,XP_045741932.1,FAM210B,False
XP_032243633.1,XP_038313696.1,XP_027479019.1,XP_045741898.1,PTGIS,False
XP_032243634.1,XP_038313891.1,XP_027479466.1,XP_045741918.1,PARD6B,False
XP_032243635.1,XP_005635300.1,XP_027479130.1,XP_045739859.1,PHACTR3,False
XP_032243637.1,XP_539592.4,XP_027476116.1,XP_045754037.1,STK40,False
XP_032243638.1,XP_003433278.2,XP_027479025.1,XP_045742130.1,SOX18,False
XP_032243640.1,XP_543094.1,XP_027479560.1,XP_064427862.1,BIRC7,False
XP_032243641.1,XP_005635234.1,XP_027479915.1,XP_045741919.1,BCAS4,False
XP_032243644.1,XP_534469.2,XP_027479326.1,XP_045741995.1,PRELID3B,False
XP_032243650.1,XP_022264934.2,XP_027478394.2,XP_064429632.1,NKAIN4,False
XP_032243652.1,XP_543042.2,XP_027478857.1,XP_045741897.1,KCNB1,False
XP_032243655.1,XP_038313812.1,XP_027478331.1,XP_064429509.1,SLCO4A1,False
XP_032243657.1,XP_038314045.1,XP_027476195.1,XP_045739864.1,CHRNA4,False
XP_032243659.1,XP_038313546.1,XP_027479378.1,XP_045742034.2,OGFR,False
XP_032243661.1,XP_543065.4,XP_027476400.1,XP_045739851.1,TFAP2C,False
XP_032243662.1,XP_543088.3,XP_027478914.1,XP_045739861.1,NTSR1,False
XP_032243664.1,XP_038313601.1,XP_035584755.1,XP_064429450.1,AURKA,False
XP_032243666.1,XP_022265240.1,XP_027479177.1,XP_045741914.2,RIPOR3,False
XP_032243667.1,NP_001108325.1,XP_027479273.1,XP_054366134.1,IL29L,False
XP_032243668.1,XP_038313945.1,XP_027476365.1,XP_045741930.1,PFDN4,False
XP_032243669.1,XP_038313561.1,XP_027477689.1,XP_045741871.1,PREX1,False
XP_032243670.1,XP_022264683.1,XP_027478252.1,XP_064429533.1,SRMS,False
XP_032243671.1,XP_543059.2,XP_027479867.1,XP_045739846.1,CYP24A1,False
XP_032243674.1,XP_038313507.1,XP_027479994.2,XP_064429425.1,ATP9A,False
XP_032243675.1,XP_853487.1,XP_027478666.1,XP_045739852.1,SPO11,False
XP_032243677.1,XP_038314033.1,XP_027478294.1,XP_064429447.1,DOK5,False
XP_032243678.1,XP_038313549.1,XP_027476525.1,XP_045739863.1,BHLHE23,False
XP_032243679.1,XP_038313957.1,XP_027476249.1,XP_045739873.1,ABHD16B,False
XP_032243680.1,XP_022283546.1,XP_027447376.1,XP_054368961.1,SH3D21,False
XP_032243682.1,XP_013962631.1,XP_027477202.1,XP_064429626.1,BCAS1,False
XP_032243693.1,XP_853206.3,XP_027477357.1,XP_045741875.1,CSE1L,False
XP_032243696.1,XP_022265213.1,XP_027477871.1,XP_054366129.1,STAU1,False
XP_032243697.1,XP_022265214.1,XP_027477872.1,XP_045741883.1,STAU1,False
XP_032243699.1,XP_022265215.1,XP_027477873.1,XP_045741888.1,STAU1,False
XP_032243700.1,XP_022265216.1,XP_027477874.1,XP_045741889.1,STAU1,False
XP_032243703.1,XP_013962716.1,XP_027478479.1,XP_045739872.1,FNDC11,False
XP_032243704.1,XP_539593.2,XP_035582861.1,XP_045754041.1,THRAP3,False
XP_032243706.1,XP_013975074.1,XP_027473952.1,XP_064445530.1,MAP7D1,False
XP_032243711.1,XP_013975075.1,XP_027473981.1,XP_064445531.1,MAP7D1,False
XP_032243714.1,XP_038320495.1,XP_027464389.1,XP_045754323.1,TENT5D,False
XP_032243716.1,XP_022271695.1,XP_027463244.1,XP_045752537.1,NEXMIF,False
XP_032243717.1,XP_013975076.1,XP_027473989.1,XP_064445532.1,MAP7D1,False
XP_032243718.1,XP_549087.1,XP_027463692.1,XP_045735689.1,ABCB7,False
XP_032243720.1,XP_549080.1,XP_027463931.1,XP_045751996.1,CDX4,False
XP_032243721.1,XP_549096.2,XP_027464287.1,XP_064430355.1,ATP7A,False
XP_032243725.1,XP_005641557.1,XP_035581384.1,XP_045751873.1,NAP1L2,False
XP_032243726.1,XP_022271572.2,XP_027464759.1,XP_045735650.1,SLC16A2,False
XP_032243730.1,XP_859444.2,XP_027463456.1,XP_045735678.1,RLIM,False
XP_032243732.1,XP_003435625.1,XP_027463933.1,XP_045735574.1,CHIC1,False
XP_032243734.1,XP_539594.2,XP_027438246.1,XP_064445534.1,TRAPPC3,False
XP_032243739.1,XP_038320673.1,XP_027463568.1,XP_045735724.1,ZDHHC15,False
XP_032243743.1,XP_038320551.1,XP_027465207.1,XP_045753814.1,GPR174,False
XP_032243744.1,XP_005641587.1,XP_027465275.1,XP_045735860.1,SH3BGRL,False
XP_032243746.1,XP_549109.2,XP_035581652.1,XP_064430363.1,RPS6KA6,False
XP_032243749.1,XP_022271962.1,XP_027464430.1,XP_045725009.2,CYLC1,False
XP_032243750.1,XP_850766.2,XP_027439698.1,XP_045754048.2,ADPRS,False
XP_032243754.1,XP_003435613.1,XP_027463403.1,XP_064429663.1,RTL3,False
XP_032243756.1,XP_038308107.1,XP_027461746.1,XP_045754049.1,AGO3,False
XP_032243758.1,XP_005616570.1,XP_027474871.1,XP_045747590.1,RPS19,False
XP_032243759.1,XP_003435636.1,XP_035583209.1,XP_045735784.1,LOC100684983,False
XP_032243760.1,XP_549110.3,XP_027464360.1,XP_064430365.1,HDX,False
XP_032243767.1,XP_022271590.1,XP_027465035.1,XP_064430376.1,ZNF711,False
XP_032243768.1,XP_022271591.1,XP_027465036.1,XP_064430377.1,ZNF711,False
XP_032243769.1,XP_022271592.1,XP_027465039.1,XP_064430378.1,ZNF711,False
XP_032243771.1,XP_850962.2,XP_027465445.1,XP_045735905.1,APOOL,False
XP_032243774.1,XP_549112.3,XP_027465444.1,XP_045726882.1,SATL1,False
XP_032243778.1,XP_038320163.1,XP_027463281.2,XP_064430347.1,ATRX,False
XP_032243779.1,XP_038320164.1,XP_027463282.2,XP_064430348.1,ATRX,False
XP_032243780.1,XP_538084.2,XP_027463283.2,XP_064430349.1,ATRX,False
XP_032243782.1,XP_038320165.1,XP_027463286.2,XP_064430352.1,ATRX,False
XP_032243783.1,XP_038320166.1,XP_027463287.2,XP_064430353.1,ATRX,False
XP_032243785.1,XP_549089.3,XP_027464509.1,XP_045735748.1,PBDC1,False
XP_032243786.1,XP_532563.3,XP_027461775.1,XP_045754052.1,AGO1,False
XP_032243789.1,XP_038320783.1,XP_027463570.1,XP_045735706.1,UPRT,False
XP_032243792.1,XP_549095.3,XP_027464403.1,XP_045735773.1,MAGT1,False
XP_032243795.1,XP_549108.1,XP_027464366.1,XP_045755315.1,POU3F4,False
XP_032243796.1,XP_549098.2,XP_027464733.1,XP_045753310.1,LPAR4,False
XP_032243798.1,XP_005641561.1,XP_027464416.1,XP_045752340.1,ZCCHC13,False
XP_032243801.1,XP_022271814.1,XP_027464079.1,XP_045755814.1,POF1B,False
XP_032243803.1,XP_005641582.2,XP_027465458.1,XP_045753438.1,P2RY10,False
XP_032243807.1,XP_549094.2,XP_027464674.1,XP_045735762.1,FGF16,False
XP_032243809.1,XP_538092.2,XP_027464307.1,XP_045736000.1,CHM,False
XP_032243812.1,XP_849992.1,XP_027465324.1,XP_045735823.1,PGK1,False
XP_032243813.1,XP_038320431.1,XP_027464750.1,XP_045753190.1,CYSLTR1,False
XP_032243815.1,XP_013967361.1,XP_027464751.1,XP_045735837.1,TAF9B,False
XP_032243820.1,XP_549104.2,XP_027464528.1,XP_045735846.1,BRWD3,False
XP_032243827.1,XP_038537899.1,XP_027476034.1,XP_045746373.1,SYNGR4,False
XP_032243828.1,XP_005616566.1,XP_027472934.1,XP_045746349.1,DMRTC2,False
XP_032243830.1,NP_001300763.1,XP_027475048.1,XP_045746348.2,CD79A,False
XP_032243833.1,XP_541585.2,XP_027475363.1,XP_045748126.1,LYPD3,False
XP_032243834.1,XP_855269.1,XP_027475874.2,XP_045746343.1,PRR19,False
XP_032243837.1,XP_038307626.1,XP_027460787.1,XP_064445548.1,AGO4,False
XP_032243839.1,XP_038516893.1,XP_027473067.2,XP_064437955.1,SHANK1,False
XP_032243846.1,XP_022279100.2,XP_027473070.1,XP_064437811.1,MYH14,False
XP_032243848.1,XP_022279103.2,XP_027473072.1,XP_054367501.1,MYH14,False
XP_032243849.1,XP_533608.2,XP_027473077.1,XP_045747960.1,MYBPC2,False
XP_032243850.1,XP_022279048.2,XP_027473081.1,XP_045747962.1,POLD1,False
XP_032243851.1,XP_038513504.1,XP_027475733.1,XP_045747966.3,VSIG10L,False
XP_032243852.1,XP_022283423.1,XP_027474098.2,XP_064437828.1,ZNF175,False
XP_032243857.1,XP_038521369.1,XP_027473178.1,XP_054367502.2,LOC484365,False
XP_032243858.1,XP_005616295.1,XP_035580991.1,XP_064437621.1,LOC484343,False
XP_032243861.1,XP_541477.3,XP_027473091.1,XP_054367503.1,LRRC4B,False
XP_032243864.1,XP_038505646.1,XP_027474104.1,XP_064437835.1,LOC106558983,False
XP_032243865.1,XP_038518118.1,XP_027473094.1,XP_064437856.1,SYT3,False
XP_032243866.1,XP_038507725.1,XP_027474142.1,XP_045747972.1,HAS1,False
XP_032243868.1,XP_038307967.1,XP_027432403.2,XP_045754059.1,C15H1orf216,False
XP_032243871.1,XP_851316.1,XP_027473105.1,XP_064437879.1,NR1H2,False
XP_032243873.1,XP_533610.2,XP_027473118.1,XP_045747980.1,NAPSA,False
XP_032243874.1,XP_541473.2,XP_027473108.1,XP_064437956.1,ACP4,False
XP_032243876.1,XP_038514521.1,XP_027475736.1,XP_045747983.1,IGLON5,False
XP_032243877.1,XP_854623.5,XP_027473128.1,XP_045747984.1,CLEC11A,False
XP_032243880.1,XP_854654.2,XP_027473130.1,XP_064436671.1,ASPDH,False
XP_032243881.1,NP_001184096.1,XP_035580769.1,XP_045747987.1,KLK5,False
XP_032243883.1,XP_532564.3,XP_027479963.1,XP_045754060.1,PSMB2,False
XP_032243888.1,XP_022278947.1,XP_027473127.2,XP_064437893.1,LOC484356,False
XP_032243889.1,XP_038509468.1,XP_027474219.1,XP_045748020.2,SPACA6,False
XP_032243890.1,XP_003638856.1,XP_027473144.1,XP_064437897.1,KLK13,False
XP_032243891.1,NP_001184087.1,XP_027473147.1,XP_045748019.1,KLK10,False
XP_032243893.1,XP_038516104.1,XP_027473148.1,XP_064437898.1,KLK12,False
XP_032243894.1,XP_541478.2,XP_027473149.1,XP_045747999.1,EMC10,False
XP_032243896.1,NP_001003262.1,XP_027473142.1,XP_045748021.2,KLK1,False
XP_032243897.1,XP_533603.2,XP_027475738.1,XP_045748001.1,ETFB,False
XP_032243898.1,NP_001159351.1,XP_027473159.1,XP_045726937.2,KLK14,False
XP_032243899.1,NP_001165244.2,XP_027473158.2,XP_045748023.2,KLK9,False
XP_032243900.1,XP_022278889.1,XP_027473177.1,XP_064436672.1,KLK11,False
XP_032243901.1,NP_001184095.1,XP_027473161.1,XP_064437899.1,KLK6,False
XP_032243907.1,XP_533607.3,XP_027473172.1,XP_045748005.2,FAM71E1,False
XP_032243908.1,XP_003432768.2,XP_027473151.1,XP_064437888.1,SPIB,False
XP_032243910.1,XP_022278927.2,XP_027473166.1,XP_045748004.1,LOC480822,False
XP_032243912.1,XP_005616269.1,XP_027474230.1,XP_045747981.1,FPR2,False
XP_032243916.1,XP_854660.2,XP_027473174.1,XP_054367511.1,JOSD2,False
XP_032243917.1,XP_013971994.1,XP_027473814.1,XP_045748010.1,C1H19orf84,False
XP_032243918.1,XP_003638854.1,XP_027473813.1,XP_045748012.1,NKG7,False
XP_032243919.1,XP_013970664.1,XP_027473809.1,XP_054367508.1,LIM2,False
XP_032243920.1,XP_022278778.1,XP_027473803.2,XP_064437957.1,CLDND2,False
XP_032243922.1,NP_001184098.1,XP_027473153.1,XP_045748016.2,KLK4,False
XP_032243923.1,XP_022278618.1,XP_027474223.2,XP_045748214.1,SBK2,False
XP_032243924.1,NP_001300705.1,XP_027473185.1,XP_045747693.1,CKM,False
XP_032243925.1,XP_854010.3,XP_027474224.1,XP_064436686.1,SBK3,False
XP_032243926.1,NP_001273933.1,XP_027474699.1,XP_064437633.1,GRIK5,False
XP_032243927.1,XP_038307976.1,XP_027453627.2,XP_064445557.1,KIAA0319L,False
XP_032243929.1,XP_022258991.1,XP_027474708.2,XP_045747576.1,ZNF574,False
XP_032243934.1,XP_541535.4,XP_027476093.1,XP_064437349.1,SLC8A2,False
XP_032243935.1,XP_038540995.1,XP_027475289.2,XP_054367457.1,BICRA,False
XP_032243936.1,XP_022260808.1,XP_027475217.1,XP_045746386.1,PTH2,False
XP_032243937.1,XP_533632.1,XP_027475700.1,XP_045747772.1,SAE1,False
XP_032243940.1,XP_532565.2,XP_027453651.1,XP_045754066.1,NCDN,False
XP_032243941.1,XP_854976.1,XP_035581014.1,XP_064436922.1,BBC3,False
XP_032243946.1,XP_533638.2,XP_027474438.1,XP_045747733.1,SYMPK,False
XP_032243947.1,XP_022280534.2,XP_027475800.1,XP_045747725.1,DMWD,False
XP_032243948.1,XP_013974920.1,XP_027453676.1,XP_064445558.1,NCDN,False
XP_032243949.1,XP_005616487.1,XP_027475086.1,XP_045747728.1,DMPK,False
XP_032243950.1,XP_005616488.1,XP_027475087.1,XP_045747729.1,DMPK,False
XP_032243951.1,XP_013975070.1,XP_027475088.1,XP_045747730.1,DMPK,False
XP_032243952.1,XP_013975077.1,XP_027475089.1,XP_045747732.1,DMPK,False
XP_032243953.1,XP_533639.2,XP_027474442.1,XP_064437700.1,RSPH6A,False
XP_032243954.1,NP_001003368.1,XP_027475104.2,XP_045746359.1,APOC2,False
XP_032243955.1,XP_022280711.1,XP_035581217.1,XP_045748135.1,APOC4,False
XP_032243957.1,NP_001183977.1,XP_027474817.1,XP_064436435.1,APOC1,False
XP_032243959.1,XP_866043.1,XP_027475574.1,XP_064437207.1,APOE,False
XP_032243962.1,XP_022279217.1,XP_027473082.1,XP_064436422.1,ZNF473,False
XP_032243967.1,XP_005616337.1,XP_027473101.1,XP_064436428.1,VRK3,False
XP_032243969.1,XP_022280589.2,XP_027475296.1,XP_064437564.1,PPM1N,False
XP_032243972.1,XP_038307978.1,XP_027453519.1,XP_045754067.1,ZMYM4,False
XP_032243974.1,NP_001003256.1,XP_027475300.1,XP_045747713.1,VASP,False
